temperature,humidity,flame,prediction_prob
[19.4],[65.],[0.],
[19.4],[65.],[0.],
[19.4],[65.],[0.],
[19.4],[65.],[0.],
[19.4],[65.],[0.],
[19.4],[65.],[0.],
[19.4],[65.],[0.],
[19.4],[65.],[0.],
[19.4],[65.],[0.],
[19.4],[65.],[0.],
[19.4],[65.],[0.],
[19.4],[65.],[0.],
[19.4],[65.],[0.],
[19.4],[65.],[0.],
[19.4],[65.],[0.],
[19.4],[65.],[0.],
[18.2],[59.],[0.],
[18.2],[71.],[0.],
[18.2],[70.],[0.],
[18.2],[70.],[0.],
[18.2],[70.],[0.],
[18.2],[70.],[0.],
[18.2],[70.],[0.],
[18.2],[70.],[0.],
[18.2],[70.],[0.],
[18.2],[70.],[0.],
[18.2],[70.],[0.],
[18.2],[70.],[0.],
[18.2],[70.],[0.],
[18.2],[70.],[0.],
[18.2],[70.],[0.],
[18.2],[70.],[0.],
[18.2],[70.],[0.],
[18.2],[70.],[0.],
[18.5],[69.],[0.],
[18.5],[69.],[0.],
[18.5],[69.],[0.],
[18.5],[69.],[0.],
[18.6],[69.],[0.],
[18.6],[69.],[0.],
[18.6],[65.],[0.],
[18.6],[67.],[0.],
[18.6],[60.],[0.],
[18.6],[66.],[0.],
[18.6],[66.],[0.],
[18.7],[59.],[0.],
[18.6],[66.],[0.],
[18.6],[66.],[0.],
[18.6],[66.],[0.],
[18.6],[66.],[0.],
[18.5],[66.],[0.],
[18.6],[66.],[0.],
[18.6],[68.],[0.],
[18.5],[66.],[0.],
[18.5],[66.],[0.],
[18.6],[67.],[0.],
[18.7],[67.],[0.],
[18.7],[67.],[0.],
[18.8],[67.],[0.],
[18.8],[66.],[0.],
[18.6],[66.],[0.],
[18.6],[66.],[0.],
[18.8],[68.],[0.],
[18.8],[65.],[0.],
[18.8],[68.],[0.],
[18.9],[66.],[0.],
[18.9],[65.],[0.],
[18.9],[65.],[0.],
[18.9],[65.],[0.],
[19.],[65.],[0.],
[19.],[64.],[0.],
[19.],[64.],[0.],
[19.1],[65.],[0.],
[19.1],[64.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[64.],[0.],
[19.2],[63.],[0.],
[19.4],[64.],[0.],
[19.4],[64.],[0.],
[19.4],[64.],[0.],
[19.4],[62.],[0.],
[19.4],[62.],[0.],
[19.4],[62.],[0.],
[19.5],[62.],[0.],
[19.5],[62.],[0.],
[19.4],[62.],[0.],
[19.2],[62.],[0.],
[19.3],[62.],[0.],
[19.3],[62.],[0.],
[19.3],[62.],[0.],
[19.2],[57.],[0.],
[19.2],[67.],[0.],
[19.2],[67.],[0.],
[19.2],[66.],[0.],
[19.2],[65.],[0.],
[19.2],[67.],[0.],
[18.8],[67.],[0.],
[19.1],[67.],[0.],
[19.3],[67.],[0.],
[19.4],[66.],[0.],
[19.3],[66.],[0.],
[19.3],[66.],[0.],
[19.3],[66.],[0.],
[19.3],[66.],[0.],
[19.3],[66.],[0.],
[19.4],[66.],[0.],
[19.2],[66.],[0.],
[19.2],[66.],[0.],
[19.3],[66.],[0.],
[19.3],[66.],[0.],
[19.3],[66.],[0.],
[19.3],[66.],[0.],
[19.2],[63.],[0.],
[19.2],[57.],[0.],
[19.2],[62.],[0.],
[19.2],[62.],[0.],
[19.2],[62.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.1],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.3],[62.],[0.],
[19.3],[62.],[0.],
[19.4],[56.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
[19.2],[63.],[0.],
